0.43173,-0.0305
0.42929,-0.033414
0.42598,-0.037074
0.42384,-0.039275
0.42111,-0.04182
0.41933,-0.043259
0.41715,-0.044748
0.41553,-0.045524
0.41389,-0.045906
0.41239,-0.045854
0.41105,-0.045344
0.40971,-0.044559
0.40839,-0.043267
0.40709,-0.041733
0.40569,-0.039727
0.40444,-0.037515
0.40299,-0.034782
0.4018,-0.032008
0.40038,-0.028573
0.39922,-0.025335
0.39797,-0.021657
0.3969,-0.017918
0.39593,-0.014255
0.39501,-0.010313
0.39429,-0.0066947
0.39356,-0.0027232
0.39301,0.00083872
0.39244,0.0045692
0.39197,0.0079908
0.39147,0.011466
0.39095,0.014801
0.39042,0.017938
0.38975,0.021166
0.38906,0.02407
0.38819,0.027189
0.38729,0.029956
0.38619,0.033054
0.38508,0.035823
0.3838,0.038933
0.38254,0.041734
0.38109,0.044819
0.37972,0.047661
0.3782,0.050749
0.37676,0.053562
0.37514,0.05657
0.37361,0.059407
0.37197,0.0623
0.37029,0.065252
0.36861,0.068127
0.36682,0.071098
0.36511,0.073882
0.36318,0.07682
0.36137,0.079657
0.35936,0.082551
0.35739,0.085418
0.35534,0.088357
0.35324,0.091201
0.351,0.094359
0.34887,0.097161
0.34652,0.10034
0.34426,0.10318
0.34189,0.10625
0.33959,0.10907
0.33708,0.1121
0.33472,0.11483
0.33225,0.11763
0.32989,0.12025
0.32731,0.12291
0.32496,0.12529
0.32251,0.12761
0.32018,0.12973
0.31767,0.13179
0.31544,0.13352
0.31303,0.1352
0.31076,0.13659
0.30847,0.13784
0.3062,0.13884
0.30393,0.13974
0.30163,0.14047
0.29926,0.14102
0.29679,0.1415
0.29418,0.14175
0.29155,0.14199
0.28875,0.14203
0.28573,0.14206
0.2827,0.14195
0.27934,0.14175
0.27586,0.14145
0.27244,0.14109
0.26871,0.14061
0.26498,0.14003
0.26107,0.13935
0.25702,0.13855
0.253,0.1377
0.24882,0.13675
0.24463,0.1357
0.2401,0.13448
0.23606,0.1333
0.23156,0.13195
0.22717,0.13047
0.22268,0.12896
0.21822,0.12737
0.21363,0.1257
0.20914,0.12396
0.20432,0.12208
0.19965,0.12017
0.19491,0.11824
0.19017,0.11619
0.18502,0.114
0.18026,0.1118
0.17512,0.10958
0.17016,0.10728
0.16499,0.10487
0.15994,0.10237
0.1548,0.099853
0.14985,0.097336
0.14472,0.094582
0.13979,0.091935
0.13461,0.089065
0.13008,0.086379
0.12483,0.083281
0.12034,0.080508
0.11553,0.077493
0.11101,0.074653
0.10628,0.071628
0.10173,0.068785
0.097146,0.065899
0.092755,0.06318
0.088094,0.060335
